product_id;product_name;product_price;product_price_new;product_color;product_fit;product_size;product_materials;product_composition;data_scrapy
1024256006;Slim Jeans;$29.99;NaN;Dark denim blue;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256007;Slim Jeans;$29.99;NaN;Dark gray;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
690449056;Skinny Jeans;$39.99;NaN;Light denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionCotton 98%, Spandex 2%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
927964001;Regular Tapered Crop Jeans;$19.99;NaN;Denim blue;Regular fit;"The model is 188cm/6'2"" and wears a size 31";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 100%;12/04/2022 13:40
927964002;Regular Tapered Crop Jeans;$19.99;NaN;Light denim blue;Regular fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
927964013;Regular Tapered Crop Jeans;$19.99;NaN;Black;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Cotton 100%;12/04/2022 13:40
1024256001;Slim Jeans;$29.99;NaN;Black;Slim fit;"The model is 185cm/6'1"" and wears a size 31/32";Lining: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256002;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256003;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256004;Slim Jeans;$29.99;NaN;Denim blue;Slim fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256005;Slim Jeans;$29.99;NaN;Dark blue;Slim fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256006;Slim Jeans;$29.99;NaN;Dark denim blue;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256007;Slim Jeans;$29.99;NaN;Dark gray;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256001;Slim Jeans;$29.99;NaN;Black;Slim fit;"The model is 185cm/6'1"" and wears a size 31/32";Lining: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256002;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256003;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 189cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256004;Slim Jeans;$29.99;NaN;Denim blue;Slim fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1024256005;Slim Jeans;$29.99;NaN;Dark blue;Slim fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256006;Slim Jeans;$29.99;NaN;Dark denim blue;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1024256007;Slim Jeans;$29.99;NaN;Dark gray;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
927964001;Regular Tapered Crop Jeans;$19.99;NaN;Denim blue;Regular fit;"The model is 188cm/6'2"" and wears a size 31";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 100%;12/04/2022 13:40
927964002;Regular Tapered Crop Jeans;$19.99;NaN;Light denim blue;Regular fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
927964013;Regular Tapered Crop Jeans;$19.99;NaN;Black;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Cotton 100%;12/04/2022 13:40
985159001;Skinny Jeans;$19.99;NaN;Black;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159002;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159004;Skinny Jeans;$19.99;NaN;Light denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159005;Skinny Jeans;$19.99;NaN;Dark blue;Skinny fit;"The model is 189cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159006;Skinny Jeans;$19.99;NaN;Dark denim blue;Skinny fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159007;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159008;Skinny Jeans;$19.99;NaN;Dark gray;Skinny fit;"The model is 182cm/6'0"" and wears a size 33/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
985159001;Skinny Jeans;$19.99;NaN;Black;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159002;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159004;Skinny Jeans;$19.99;NaN;Light denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159005;Skinny Jeans;$19.99;NaN;Dark blue;Skinny fit;"The model is 189cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159006;Skinny Jeans;$19.99;NaN;Dark denim blue;Skinny fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159007;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159008;Skinny Jeans;$19.99;NaN;Dark gray;Skinny fit;"The model is 182cm/6'0"" and wears a size 33/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
979945001;Loose Jeans;$39.99;NaN;Light denim blue;Loose fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 100%;12/04/2022 13:40
979945002;Loose Jeans;$39.99;NaN;Denim blue;Loose fit;NaN;Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
979945003;Loose Jeans;$39.99;NaN;Black;Loose fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
979945009;Loose Jeans;$39.99;NaN;Light gray;Loose fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549001;Regular Jeans;$57.99;NaN;Light denim blue;Regular fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 98%, Spandex 2%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549002;Regular Jeans;$57.99;$24.99;Denim blue;Regular fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549003;Regular Jeans;$57.99;NaN;Dark gray;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549004;Regular Jeans;$57.99;NaN;Dark blue;Regular fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 63%, Cotton 37%;12/04/2022 13:40
1008549006;Regular Jeans;$57.99;$24.99;Black;Regular fit;"The model is 188cm/6'2"" and wears a size 31/30";Shell: Recycled cotton 20%;CompositionPocket: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549007;Regular Jeans;$57.99;NaN;Light gray;Regular fit;"The model is 186cm/6'1"" and wears a size 31/32";Lining: Recycled cotton 20%;CompositionPocket: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549008;Regular Jeans;$57.99;NaN;Light denim blue;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008110001;Freefit® Slim Jeans;$49.99;NaN;Dark denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 33/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 90%, Elastomultiester 8%, Spandex 2%Pocket lining: Polyester 80%, Cotton 20%;12/04/2022 13:40
1008110002;Freefit® Slim Jeans;$49.99;NaN;Black/No fade black;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 90%, Elastomultiester 8%, Spandex 2%;12/04/2022 13:40
1008110003;Freefit® Slim Jeans;$49.99;NaN;Light denim blue;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 80%, Cotton 20%Shell: Cotton 89%, Elastomultiester 9%, Spandex 2%;12/04/2022 13:40
1008110005;Freefit® Slim Jeans;$49.99;NaN;Light denim blue;Slim fit;"The model is 188cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 18%, Recycled polyester 4%;CompositionPocket lining: Polyester 80%, Cotton 20%Shell: Cotton 89%, Elastomultiester 9%, Spandex 2%;12/04/2022 13:40
1008110006;Freefit® Slim Jeans;$49.99;NaN;Denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 80%, Cotton 20%Shell: Cotton 89%, Elastomultiester 9%, Spandex 2%;12/04/2022 13:40
1008549001;Regular Jeans;$57.99;NaN;Light denim blue;Regular fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 98%, Spandex 2%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549002;Regular Jeans;$57.99;$24.99;Denim blue;Regular fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549003;Regular Jeans;$57.99;NaN;Dark gray;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549004;Regular Jeans;$57.99;NaN;Dark blue;Regular fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 63%, Cotton 37%;12/04/2022 13:40
1008549006;Regular Jeans;$57.99;$24.99;Black;Regular fit;"The model is 188cm/6'2"" and wears a size 31/30";Shell: Recycled cotton 20%;CompositionPocket: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549007;Regular Jeans;$57.99;NaN;Light gray;Regular fit;"The model is 186cm/6'1"" and wears a size 31/32";Lining: Recycled cotton 20%;CompositionPocket: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549008;Regular Jeans;$57.99;NaN;Light denim blue;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
979945001;Loose Jeans;$39.99;NaN;Light denim blue;Loose fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 100%;12/04/2022 13:40
979945002;Loose Jeans;$39.99;NaN;Denim blue;Loose fit;NaN;Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
979945003;Loose Jeans;$39.99;NaN;Black;Loose fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
979945009;Loose Jeans;$39.99;NaN;Light gray;Loose fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1004199001;Skinny Cropped Jeans;$29.99;NaN;Light denim blue;Skinny fit;NaN;Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%;12/04/2022 13:40
1004199002;Skinny Cropped Jeans;$29.99;NaN;Black;Skinny fit;"The model is 187cm/6'2"" and wears a size 31";Shell: Recycled cotton 20%;CompositionCotton 99%, Spandex 1%;12/04/2022 13:40
1004199003;Skinny Cropped Jeans;$29.99;NaN;Denim blue;Skinny fit;"The model is 185cm/6'1"" and wears a size 31";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1004199004;Skinny Cropped Jeans;$29.99;NaN;White;Skinny fit;"The model is 183cm/6'0"" and wears a size 32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1004199005;Skinny Cropped Jeans;$29.99;NaN;Light gray;Skinny fit;"The model is 182cm/6'0"" and wears a size 31";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1018704001;Relaxed Pull-on Jeans;$24.99;NaN;Light denim blue;Relaxed fit;"The model is 180cm/5'11"" and wears a size M";Shell: Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1018704002;Relaxed Pull-on Jeans;$24.99;NaN;Denim blue;Relaxed fit;NaN;Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1018704003;Relaxed Pull-on Jeans;$24.99;NaN;Black;Relaxed fit;"The model is 187cm/6'2"" and wears a size L";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 100%;12/04/2022 13:40
979945001;Loose Jeans;$39.99;NaN;Light denim blue;Loose fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 100%;12/04/2022 13:40
979945002;Loose Jeans;$39.99;NaN;Denim blue;Loose fit;NaN;Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
979945003;Loose Jeans;$39.99;NaN;Black;Loose fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
979945009;Loose Jeans;$39.99;NaN;Light gray;Loose fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 100%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
985197001;Slim Jeans;$29.99;NaN;Black;Slim fit;"The model is 189cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 98%, Spandex 2%;12/04/2022 13:40
985197003;Slim Jeans;$29.99;NaN;Denim blue;Slim fit;NaN;Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985197004;Slim Jeans;$29.99;NaN;Dark denim blue;Slim fit;NaN;NaN;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985197005;Slim Jeans;$23.99;NaN;Dark denim blue;Slim fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
985197006;Slim Jeans;$29.99;NaN;Light denim blue;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985197007;Slim Jeans;$23.99;NaN;Dark gray;Slim fit;"The model is 187cm/6'2"" and wears a size 31/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159001;Skinny Jeans;$19.99;NaN;Black;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159002;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159004;Skinny Jeans;$19.99;NaN;Light denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159005;Skinny Jeans;$19.99;NaN;Dark blue;Skinny fit;"The model is 189cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159006;Skinny Jeans;$19.99;NaN;Dark denim blue;Skinny fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159007;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159008;Skinny Jeans;$19.99;NaN;Dark gray;Skinny fit;"The model is 182cm/6'0"" and wears a size 33/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549001;Regular Jeans;$57.99;NaN;Light denim blue;Regular fit;NaN;Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionShell: Cotton 98%, Spandex 2%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549002;Regular Jeans;$57.99;$24.99;Denim blue;Regular fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549003;Regular Jeans;$57.99;NaN;Dark gray;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549004;Regular Jeans;$57.99;NaN;Dark blue;Regular fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 63%, Cotton 37%;12/04/2022 13:40
